      ANN   AUT   WIN   SPR   SUM

1957 -4.24 -2.52 -0.68 -3.55 -2.52
1958 -1.27 -2.97 -0.92  1.42  1.12
1959  0.47 -0.94 -1.22  3.20  0.31
1960  1.52  0.74  0.32  1.00 -0.08
1961  1.22  0.48  0.93  0.85  2.19
1962 -0.41 -0.02 -1.39 -1.36  2.64
1963  0.71  0.80 -1.44  0.42 -1.77
1964 -4.12  0.97 -6.62 -0.45 -3.55
1965 -1.52 -2.25  0.88  1.90 -1.65
1966 -1.11 -2.46  1.04  0.07 -3.25
1967 -0.38  0.27  2.35  0.06 -0.89
1968 -2.65 -3.00  1.01 -3.42 -3.13
1969 -0.69 -0.60  1.66  0.95  0.51
1970 -1.11 -1.65  0.36 -2.00 -0.48
1971 -1.69 -1.23  0.63 -2.48 -1.69
1972 -2.72 -2.24 -1.55 -0.55 -0.70
1973  1.12 -0.24  2.46 -1.70  2.44
1974 -1.01  1.62 -2.70 -0.58 -2.57
1975 -1.70 -2.35 -1.67  1.26  0.08
1976 -0.43  1.78  0.51  0.27 -4.50
1977 -2.04 -1.64 -2.21  1.77 -0.04
1978  0.49 -0.57  0.57  0.69 -0.01
1979  1.48  1.27  3.67 -0.44 -1.68
1980 -2.48 -2.23 -0.41 -2.65  0.90
1981 -0.55 -2.04 -1.68 -0.06  1.24
1982  0.69  2.65  1.54 -1.10 -2.06
1983  1.14 -1.03  1.18  2.24 -0.53
1984 -2.14 -0.51 -0.79  0.48 -3.04
1985  1.66  0.76  1.07  2.10 -0.28
1986 -0.33 -2.17  0.38  1.88 -1.14
1987 -0.58 -0.85  0.83  0.78  0.26
1988 -2.24 -1.05 -1.97 -3.70  1.50
1989  1.86  2.45  1.21  0.19  0.51
1990 -1.08 -3.18 -1.14  1.54 -0.06
1991 -1.17  0.31 -0.71 -1.56 -1.30
1992 -0.96 -1.51 -2.06  1.72 -0.34
1993  3.28  2.14  3.23  2.06  1.95
1994 -0.29 -0.62 -0.41 -2.31  2.56
1995  1.19  1.47 -3.16  1.80  0.91
1996 -1.04  1.55 -1.62 -2.20  1.31
1997  1.16  1.45  1.75 -1.81  0.74
1998  4.46  1.84  3.16  1.90  2.80
1999  3.67  2.08  0.30  2.70  4.22
2000  0.26  2.09 -0.40 -2.25 -1.52
2001  1.57  0.32  0.09  2.90  2.56
2002 -1.32 -2.14 -0.03 -4.09  0.34
2003  0.35  1.76  0.74 -0.78 -0.49
2004  1.17  0.67  2.32  0.29  0.33
2005  0.30  1.31 -0.25  0.58 -2.12
2006  1.51  1.73  0.54  0.81  1.63
2007 -0.77 -1.03 -2.03 -1.57  3.11
2008  2.28 -0.49  1.76  1.86  1.81
2009  0.22 -0.06 -1.04 -0.36 -0.15
2010  3.28  0.95  4.06  3.14  0.67
2011  0.79  1.37 -1.00 -1.63  2.78
2012  2.11  1.60  3.20  0.00  0.65
2013  0.30  1.37 -0.81 -1.86  0.50  
2014  1.31  0.18  1.25 -0.19  3.69
2015  4.13  1.43  3.19  1.75  2.19
2016  1.67  1.64  1.49 -0.31 -1.75
2017  1.67  1.34  1.15  1.42  2.33
2018  1.96 -0.81 -0.76  3.92  1.43
2019 -1.50  1.03 -1.30 -2.57 -0.96
2020  1.03  0.55 -1.14  1.26  2.88
2021        0.34
